clean_name,clean_artists,hit,split
atdodies man,"[""linga""]",0,train
big wheel,"[""mental as anything""]",0,test
chitarratella,"[""carlo buti""]",0,train
coisas que a vida ensina,"[""josé augusto""]",0,test
coração materno,"[""vicente celestino""]",0,test
cousin mary,"[""archie shepp""]",0,train
diez mil porqués,"[""beret""]",0,train
dito sa puso ko,"[""jaya""]",0,train
elämän ohjat,"[""martti servo & napander""]",0,train
enseñame a olvidar,"[""banda el recodo""]",0,train
ferma a guardare,"[""ernia""]",0,train
forever you and me,"[""the teskey brothers""]",0,test
fteo,"[""anna vissi""]",0,train
gillar din vibe,"[""syster sol""]",0,val
here comes the flood,"[""peter gabriel""]",0,train
het ballonnenvrouwtje,"[""het ballonnenvrouwtje""]",0,train
hoochie coochie man,"[""the jeff healey band""]",0,train
i should care,"[""mel tormé""]",0,train
illégal,"[""corbeau""]",0,test
ingrid blir bjuden på vårbal,"[""pelle svanslös""]",0,train
jil jil rani,"[""jikki""]",0,train
la manifestation,"[""les cowboys fringants""]",0,train
last dance,"[""air""]",0,train
lost love,"[""fats waller""]",0,train
love & devotion,"[""real mccoy""]",0,train
maha durga kavacham,"[""anuradha paudwal""]",0,train
massage situation,"[""flying lotus""]",0,train
moja pierwsza dziewczyna,"[""pokój z widokiem na wojnę""]",0,train
oriel window - 2008 remaster,"[""enya""]",0,train
our darkness,"[""anne clark""]",0,train
pobre corazón,"[""onda sabanera""]",0,train
pra sempre,"[""thiago grulha""]",0,train
puta,"[""ena pá 2000""]",0,train
running back to you,"[""commissioned""]",0,test
se me esta yendo tu cariño,"[""h2o""]",0,train
serotonia,"[""highly suspect""]",0,val
señor amor,"[""dulce""]",0,train
showbizz suite - 2006 remastered version,"[""marc moulin""]",0,train
taas kaikki kauniit muistot - all beautiful memories,"[""sulo saarits""]",0,val
te dejo libre,"[""agua bella""]",0,val
territoire hostile,"[""sans pression""]",0,train
this little girl of mine,"[""ray charles""]",0,train
tu al centro del mio cuore,"[""figli del divino amore""]",0,val
twin soliloquies,"[""richard rodgers""]",0,train
under your sky,"[""globe""]",0,train
viagem na palma da mão,"[""jorge palma""]",0,train
waiting for the axe to fall,"[""gil scott-heron""]",0,train
willow grove - alternate take,"[""bud powell""]",0,train
woo hah!! got you all in check,"[""busta rhymes""]",0,train
yo sin ti,"[""jambao""]",0,train
4 da gang,"[""42 dugg"",""roddy ricch""]",1,test
almost maybes,"[""jordan davis""]",1,val
arcade,"[""duncan laurence""]",1,train
astronaut in the ocean,"[""masked wolf""]",1,test
back in blood,"[""pooh shiesty"",""lil durk""]",1,train
beautiful mistakes,"[""maroon 5"",""megan thee stallion""]",1,test
best friend,"[""saweetie"",""doja cat""]",1,test
big gangsta,"[""kevin gates""]",1,val
blinding lights,"[""the weeknd""]",1,train
breaking up was easy in the 90s,"[""sam hunt""]",1,train
calling my phone,"[""lil tjay"",""6lack""]",1,test
chasing after you,"[""ryan hurd"",""maren morris""]",1,train
deja vu,"[""olivia rodrigo""]",1,train
down to one,"[""luke bryan""]",1,train
drankin n smokin,"[""future"",""lil uzi vert""]",1,test
drivers license,"[""olivia rodrigo""]",1,test
drunk and i dont wanna go home,"[""elle king"",""miranda lambert""]",1,train
follow you,"[""imagine dragons""]",1,val
forever after all,"[""luke combs""]",1,train
gone,"[""dierks bentley""]",1,test
good days,"[""sza""]",1,test
goosebumps,"[""travis scott"",""hvme""]",1,val
hard for the next,"[""moneybagg yo"",""future""]",1,train
heartbreak anniversary,"[""giveon""]",1,test
heat waves,"[""glass animals""]",1,train
hell of a view,"[""eric church""]",1,val
hello,"[""pop smoke"",""a boogie wit da hoodie""]",1,val
hold on,"[""justin bieber""]",1,val
kiss me more,"[""doja cat"",""sza""]",1,train
lady,"[""brett young""]",1,train
levitating,"[""dua lipa"",""dababy""]",1,train
lil bit,"[""nelly"",""florida georgia line""]",1,train
made for you,"[""jake owen""]",1,train
minimum wage,"[""blake shelton""]",1,val
montero call me by your name,"[""lil nas x""]",1,train
mood,"[""24kgoldn"",""iann dior""]",1,val
no more parties,"[""coi leray"",""lil durk""]",1,val
nobody,"[""dylan scott""]",1,train
on me,"[""lil baby""]",1,test
peaches,"[""justin bieber"",""daniel caesar"",""giveon""]",1,train
pick up your feelings,"[""jazmine sullivan""]",1,test
positions,"[""ariana grande""]",1,test
pov,"[""ariana grande""]",1,val
rapstar,"[""polo g""]",1,train
richer,"[""rod wave"",""polo g""]",1,train
settling down,"[""miranda lambert""]",1,test
single saturday night,"[""cole swindell""]",1,train
street runner,"[""rod wave""]",1,train
streets,"[""doja cat""]",1,val
the good ones,"[""gabby barrett""]",1,test
therefore i am,"[""billie eilish""]",1,train
time today,"[""moneybagg yo""]",1,test
tombstone,"[""rod wave""]",1,train
track star,"[""mooski""]",1,val
up,"[""cardi b""]",1,val
wants and needs,"[""drake"",""lil baby""]",1,train
way less sad,"[""ajr""]",1,train
were good,"[""dua lipa""]",1,test
what you know bout love,"[""pop smoke""]",1,train
whats next,"[""drake""]",1,test
whats your country song,"[""thomas rhett""]",1,val
without you,"[""the kid laroi""]",1,train
you broke me first,"[""tate mcrae""]",1,test
youre mines still,"[""yung bleu"",""drake""]",1,test
...and then i kissed him,"[""hans zimmer""]",0,train
a mansion on the hill,"[""hank williams""]",0,train
at the cross,"[""hillsong worship""]",0,train
beech bhanwar mein,"[""suraiya""]",0,train
búscame,"[""ross""]",0,train
como río en primavera,"[""marcela gandara""]",0,val
de ginetai,"[""elli kokkinou""]",0,train
din för alltid,"[""wizex""]",0,train
drag,"[""hellbillies""]",0,train
duel,"[""propaganda""]",0,train
fastelavn er mit navn,"[""lars stryg band""]",0,train
filho adotivo,"[""joão mineiro & marciano""]",0,train
fire,"[""arthur brown""]",0,test
god save the czar,"[""j.m.k.e.""]",0,val
gur nanak jin suneya pekheya,"[""bhai gopal singh ragi""]",0,train
heaven - single version,"[""richie campbell""]",0,train
honky tonk - stereo,"[""the ventures""]",0,test
inbjudan till bohuslän,"[""stefan borsch""]",0,train
it might be you,"[""kai""]",0,test
kiri,"[""monoral""]",0,train
kuiskaten - whispering,"[""annikki tähti""]",0,test
last to know - remastered 2012 version,"[""blue rodeo""]",0,test
let it be me - live,"[""elvis presley""]",0,train
leukste van het land,"[""k3""]",0,val
lo mio es el rock,"[""gonzalo paz""]",0,train
looking through the eyes of love,"[""marco sison""]",0,train
love me like i love you,"[""toini & the tomcats""]",0,train
love song of year 3000,"[""chuxiao""]",0,train
læt þau dreyma,"[""vinir vors & blóma""]",0,test
nain khoye khoye tere dil mein,"[""lata mangeshkar""]",0,val
olvidemonos,"[""rocío dúrcal""]",0,train
ondabazabantu,"[""dalom kids""]",0,test
our own way,"[""decreto 77""]",0,train
prefiero,"[""ha*ash""]",0,val
que cocine caridad,"[""tito rodriguez""]",0,test
que vale mas,"[""marino""]",0,test
reflect the storm,"[""in flames""]",0,val
relincho,"[""santiago chalar""]",0,test
skinhead,"[""the skinflicks""]",0,test
sommar i sverige,"[""joyride""]",0,train
sweet leaf,"[""black sabbath""]",0,test
te beso,"[""amén""]",0,test
vafan,"[""carl deman""]",0,train
vecnost,"[""no name""]",0,train
when you know,"[""puggy""]",0,test
wie ein alpha,"[""kollegah""]",0,train
ya me enteré,"[""antonio cartagena""]",0,train
ya vives en mí,"[""fidel rueda""]",0,train
yeh hawayen salaam kahti hain,"[""amirbai karnataki""]",0,test
çalsam bir gün kapını,"[""turgay merih""]",0,train
things a man oughta know,"[""lainey wilson""]",1,train
wasted on you,"[""morgan wallen""]",1,test
all i have,"[""armi ja danny""]",0,train
all you had to do was stay,"[""taylor swift""]",0,val
amacala,"[""siphokazi""]",0,test
aman tertip can tertip,"[""ersen ve dadaşlar""]",0,train
apla mousiki,"[""terror x crew""]",0,test
black widow - 2012 remaster,"[""loudness""]",0,test
capítulo 2.8 - corto viaje a casa,"[""f. scott fitzgerald""]",0,train
capítulo 8.17 - por senderos que la maleza oculta,"[""knut hamsun""]",0,train
da feelin,"[""nightmares on wax""]",0,val
das lied der schlümpfe,"[""vader abraham""]",0,test
dernière journée en mer,"[""matmatah""]",0,test
det va då,"[""perkele""]",0,test
dudas,"[""los cadiz""]",0,val
el salvador,"[""dezerter""]",0,train
elokuun 11. - 2001 digital remaster,"[""suurlähettiläät""]",0,test
hatırlamıyorum,"[""sansar salvo""]",0,test
how to dream,"[""sam phillips""]",0,val
kapitel 28: der könig der löwen 2 - simbas königreich,"[""disney - der könig der löwen""]",0,train
kızıldere,"[""grup yorum""]",0,test
la mucara,"[""the mavericks""]",0,train
le blues du businessman - 2009 remaster,"[""claude dubois""]",0,test
liv och död,"[""maskinen""]",0,train
man saaf tera hai ya nahin,"[""parashuram""]",0,val
mestaripiirros,"[""anna puu""]",0,train
mitilinia,"[""aris san""]",0,val
muumilaakson aamu,"[""jari sillanpää""]",0,test
nyaman,"[""andmesh""]",0,val
peter pan,"[""xuxa""]",0,train
piel de nopal,"[""los enanitos verdes""]",0,val
podleham,"[""chinaski""]",0,test
poquito mas,"[""infected mushroom""]",0,test
praise him in advance,"[""marvin sapp""]",0,train
rüzgar,"[""bulutsuzluk özlemi""]",0,train
sajan tori bagiya men,"[""noor jehan""]",0,train
saulėsužtemimas,"[""ba.""]",0,train
ser hümano,"[""tiro de gracia""]",0,train
será porque te amo,"[""el combo loco""]",0,train
sing sing,"[""gaz""]",0,test
skin and bones,"[""jean ritchie""]",0,test
somebody is watching me,"[""rockwell""]",0,train
sweet lorraine,"[""michel de villers""]",0,train
tanssi niin kuin kakkiainen,"[""kikattava kakkiainen""]",0,train
terbakar cemburu - edited ver,"[""padi""]",0,test
the dying cowboy,"[""alan lomax""]",0,train
un pobre con dinero,"[""sfdk""]",0,test
undecided blues,"[""count basie""]",0,train
whiskey sunsets - live,"[""moon taxi""]",0,test
yo soy helenita,"[""helenita vargas""]",0,train
you got me,"[""toto""]",0,test
zal za despina,"[""naum petreski""]",0,train
a cockeyed optimist,"[""richard rodgers""]",0,train
aunque no esté de moda,"[""silvio rodríguez""]",0,val
ayer te vi,"[""raly barrionuevo""]",0,train
beautiful,"[""aziz harun""]",0,train
bed bug blues,"[""dave van ronk""]",0,train
ben bir göçmen kızı gördüm,"[""melihat gülses""]",0,train
canción al árbol del olvido,"[""victor jara""]",0,train
dar e receber,"[""antónio variações""]",0,train
dekh liya tune gham ka tamasha,"[""s. d. batish""]",0,test
dil ka soona saaz,"[""mohammed rafi""]",0,train
dragon ball rap,"[""porta""]",0,train
ek bhool se kya hota hai,"[""e. g. padgaonkar""]",0,train
eksik,"[""batu akdeniz""]",0,train
el juego y el juguete,"[""gabinete caligari""]",0,train
esposa y querida,"[""lebrón brothers""]",0,test
eu nao pedi pra nascer,"[""facção central""]",0,train
fria vägar ut,"[""lars winnerbäck""]",0,train
gone! the promises of yesterday,"[""the mad lads""]",0,train
gong,"[""wanima""]",0,val
guess who,"[""the righteous brothers""]",0,train
hambruna,"[""2 minutos""]",0,train
jeg er ligeglad,"[""bølle-bob og de andre""]",0,val
jeník s mařenkou,"[""miroslav černý""]",0,train
jungalero,"[""les baxter""]",0,train
la faldita,"[""banda cuisillos""]",0,train
la mala maña,"[""el afinaito""]",0,test
leikkisät koiranpennut,"[""anni tannin lapsilaulajat""]",0,val
milk an money,"[""eraserheads""]",0,test
my coloring book,"[""julie london""]",0,val
no lipstick,"[""protoje""]",0,train
no te iras,"[""sexappeal""]",0,test
nobody,"[""malome vector""]",0,train
paradís,"[""stefán hilmarsson""]",0,train
pijos powres,"[""gatillazo""]",0,train
pobre diabla,"[""don omar""]",0,train
por volverte a ver,"[""los angeles de charly""]",0,val
quando eu morri,"[""marcelo nova""]",0,train
que se me acabe la vida,"[""josé alfredo jimenez""]",0,test
ružové brýle,"[""dms""]",0,train
soñadora del carnaval,"[""los fronterizos""]",0,test
spökstad,"[""kent""]",0,train
söknuður,"[""friðrik karlsson""]",0,train
teach me tonight,"[""dinah washington""]",0,train
the lady is a tramp,"[""gwen verdon""]",0,val
the part where i cry,"[""willie nelson""]",0,val
the snakes crawl at night,"[""charley pride""]",0,train
the willow,"[""the albion band""]",0,test
un amigo un hermano,"[""los peores de chile""]",0,train
una fan enamorada - salsa,"[""servando & florentino""]",0,train
zion train,"[""bob marley & the wailers""]",0,test
drinkin beer talkin god amen,"[""chase rice"",""florida georgia line""]",1,train
02 i fäders spår,"[""ultima thule""]",0,train
alaska country,"[""shocking blue""]",0,train
all of you,"[""sonny clark""]",0,train
alone in a strange place,"[""sipho gumede""]",0,test
anime in plexiglass,"[""ligabue""]",0,train
back door,"[""stray kids""]",0,test
bling-bling,"[""adrien antoine""]",0,test
confidências,"[""jorge de altinho""]",0,test
dois corações,"[""gian & giovani""]",0,train
du käre lille snickerbo,"[""barnens favoriter""]",0,train
ela na me teliosis - live version,"[""antonis remos""]",0,test
en valsmelodi,"[""sven-bertil taube""]",0,train
fallen,"[""lauren wood""]",0,train
gabrielle,"[""hootenanny singers""]",0,train
happy flying carpet,"[""michel de villers""]",0,test
harlequin,"[""premiata forneria marconi""]",0,train
hav utan hamnar,"[""ulf lundell""]",0,val
hej se på mig,"[""kenneth & the knutters""]",0,test
im rausch der liebe,"[""nena""]",0,train
je sto vicino a te - remastered 2008,"[""pino daniele""]",0,train
karpura bomma,"[""p. susheela""]",0,test
la mer,"[""nicolás cieri""]",0,test
lean & bop,"[""j hus""]",0,val
los luchadores,"[""conjunto africa""]",0,train
marvin & miles,"[""gare du nord""]",0,train
name pali edo zodanos,"[""tripes""]",0,test
need,"[""mudhoney""]",0,val
no entiendo,"[""cnco""]",0,val
norwegian boogie,"[""eddie meduza""]",0,test
only one love is blessed,"[""thurston harris""]",0,train
par rozēm,"[""jumprava""]",0,train
passos na areia,"[""cavalo de pau""]",0,train
quali alibi,"[""daniele silvestri""]",0,train
ramis,"[""agrupacion orquestral del centro musical theodoro""]",0,train
right away,"[""rodg""]",0,train
sen nerdesin ben nerdeyim,"[""ferdi tayfur""]",0,train
silmades,"[""jüri pootsmann""]",0,train
sino ako?,"[""jamie rivera""]",0,train
surrender,"[""cash cash""]",0,train
the boogie disease,"[""doctor ross""]",0,test
the chosen one,"[""bread""]",0,train
the homecoming,"[""friðrik karlsson""]",0,test
the publicity photograph,"[""tony hancock""]",0,train
tu rica boca,"[""bobby valentin""]",0,train
umacapiruá,"[""pim pau""]",0,test
vestida de garza blanca,"[""cholo valderrama""]",0,test
wave,"[""joão gilberto""]",0,val
y voy a amarte,"[""tecupae""]",0,train
yo me he visto en tus ojos,"[""julio jaramillo""]",0,test
young love,"[""ray conniff""]",0,test
alfie,"[""connie francis""]",0,test
amalfi,"[""hooverphonic""]",0,test
booguie del burrito - remastered,"[""feliciano brunelli y su orquesta""]",0,train
brązowe oczy,"[""milano""]",0,train
canmandalla,"[""yarina""]",0,train
como la flor - remastered,"[""selena""]",0,train
copacabana rock,"[""hareton salvanini""]",0,train
date ur fada,"[""ebony""]",0,test
despo,"[""roza eskenazi""]",0,train
el derecho de vivir en paz,"[""los bunkers""]",0,train
el profesor,"[""grupo tambo""]",0,val
ella,"[""adamo""]",0,val
et pourtant,"[""charles aznavour""]",0,train
forever,"[""tina cousins""]",0,test
forget me never,"[""elvis presley""]",0,train
free again,"[""egert milder""]",0,train
freight train,"[""elizabeth cotten""]",0,test
go easy,"[""alien""]",0,train
habi steez,"[""akkezdet phiai""]",0,test
hele,"[""nerez""]",0,train
how could you say you love me,"[""sarah geronimo""]",0,train
jamaica,"[""vilhjálmur vilhjálmsson""]",0,test
jungle in my heart,"[""bad boys blue""]",0,train
keresem az utam,"[""ákos""]",0,train
la chica de los ojos cafés,"[""banda kañón""]",0,train
may i have this dance,"[""vst & company""]",0,train
me sena kselogiastika,"[""stratos pagioumtzis""]",0,val
muñeca de bazar,"[""sonora borinquen""]",0,train
nada além do sangue - ao vivo,"[""fernandinho""]",0,train
ogrodu serce,"[""daab""]",0,train
os meninos dançam - remixed original album,"[""caetano veloso""]",0,train
oye mujer,"[""jambao""]",0,test
por mi timidez,"[""antony santos""]",0,train
puppets,"[""depeche mode""]",0,train
san francisco mabel joy,"[""kenny rogers""]",0,train
sana geldim,"[""bülent ortaçgil""]",0,test
she moved through the fair,"[""loreena mckennitt""]",0,val
soi kunniaksi luojan - sing now to the creator,"[""the candomino choir""]",0,train
someday,"[""louis armstrong""]",0,train
summer soft,"[""stevie wonder""]",0,val
sé que tú no estás solo,"[""amén""]",0,test
talento,"[""elli kokkinou""]",0,train
tepels liegen niet,"[""mooi wark""]",0,train
tootsee roll lp version,"[""69 boyz""]",0,val
trop tard,"[""soldat louis""]",0,train
tumne di awaz,"[""shabbir kumar""]",0,train
txalaparta,"[""gorka knörr""]",0,train
vals del amor - remasterizado,"[""francisco canaro""]",0,test
vi har bara varandra,"[""di leva""]",0,train
you make me sick - radio mix,"[""p!nk""]",0,val
epidemic,"[""polo g""]",1,val
all of me,"[""louis armstrong""]",0,train
amad nobahar,"[""farid farjad""]",0,train
babička,"[""karel gott""]",0,train
banquete de signos,"[""zé ramalho""]",0,train
białkoholicy,"[""taco hemingway""]",0,val
cavaleiros negros,"[""os mutantes""]",0,train
cuando tenga la tierra,"[""luis rico""]",0,test
el arbolito,"[""el gran combo de puerto rico""]",0,test
el cha cha chá del tren,"[""olga y tony""]",0,train
eva-lena,"[""hasse andersson""]",0,val
giden günlerim oldu,"[""gülben ergen""]",0,train
hamraborgin,"[""einar kristjansson""]",0,train
hay que poner el alma,"[""víctor manuelle""]",0,val
hinahanap-hanap kita,"[""regine velasquez""]",0,train
if you listen - remasterisé en 2016,"[""françoise hardy""]",0,test
ja sina,"[""ines""]",0,test
jesse james,"[""the kingston trio""]",0,train
kata pujangga,"[""rhoma irama""]",0,test
kekal,"[""ziana zain""]",0,train
la ligne droite,"[""georges moustaki""]",0,test
la mia canzone per maria,"[""lucio battisti""]",0,train
la paciencia de los santos,"[""jose gomez""]",0,train
les pâques a new york,"[""blaise cendrars""]",0,test
limehouse blues,"[""duke ellington""]",0,val
lásko má,"[""hana hegerova""]",0,test
maria went to town: leron leron sinta,"[""mabuhay singers""]",0,train
marriage bureau rendezvous,"[""10cc""]",0,train
mecnunum leylamı gördün mü,"[""tülay german""]",0,test
miguel,"[""son miserables""]",0,train
nashville tennessee,"[""kikki danielsson""]",0,train
o my soul,"[""big star""]",0,train
on an island,"[""david gilmour""]",0,val
p.p.p,"[""ella""]",0,val
pêy blên bê le nîweşew da,"[""hesen zîrek""]",0,train
quizas si quizas no,"[""cris manzano""]",0,val
red lenses,"[""rush""]",0,test
siempre sea,"[""joe cuba sextet""]",0,train
stepping razor,"[""peter tosh""]",0,train
subterrean,"[""max melvin""]",0,train
the shed,"[""rainbow""]",0,train
the sky - vocal deep,"[""mike pimenta""]",0,train
ti si moj greh,"[""lepa brena""]",0,train
titkos üzenet,"[""tnt""]",0,test
tonight,"[""the shadows""]",0,train
trouble you a trouble me,"[""ini kamoze""]",0,train
truce,"[""twenty one pilots""]",0,train
tsé quand ça va ben,"[""québec redneck bluegrass project""]",0,train
weekends,"[""amy shark""]",0,train
what is there to say,"[""dizzy gillespie""]",0,val
who can i run to,"[""the jones girls""]",0,train
a sneg idjot,"[""maya kristalinskaya""]",0,train
all i do,"[""daryl braithwaite""]",0,val
amore no,"[""adriano celentano""]",0,train
anna - lassmichreinlassmichraus - single version,"[""trio""]",0,val
as mariposa,"[""adoniran barbosa""]",0,train
becoming insane,"[""infected mushroom""]",0,test
canteiros - ao vivo,"[""raimundo fagner""]",0,train
caristrona,"[""don mackinnon""]",0,train
cinderella stay awhile,"[""michael jackson""]",0,train
coola killar,"[""arvingarna""]",0,val
eyesight to the blind,"[""the larks""]",0,train
fast car - acoustic version,"[""kelly rida""]",0,test
garjat barsat megh,"[""lata mangeshkar""]",0,train
give it up,"[""steve miller band""]",0,test
go on home british soldiers,"[""shan-nos""]",0,train
honey chile,"[""fats domino""]",0,test
horfðu á mig,"[""páll óskar""]",0,train
iltasatu,"[""aino akti""]",0,test
les quatre sans cou,"[""pierre brasseur""]",0,train
love is the way,"[""connect-r""]",0,test
magdalena magdalena,"[""rigo dominguez y su grupo audaz""]",0,train
manuela canta saetas,"[""marea""]",0,train
